ClientAccountID,CurrencyPrimary,AssetClass,FXRateToBase,Symbol,Description,Conid,SecurityID,SecurityIDType,CUSIP,ISIN,UnderlyingConid,UnderlyingSymbol,Issuer,ReportDate,Quantity,Multiplier,MarkPrice,PositionValue,OpenPrice,CostBasisPrice,CostBasisMoney,PercentOfNAV,FifoPnlUnrealized,Side,LevelOfDetail,OpenDateTime,HoldingPeriodDateTime,Code,OriginatingOrderID
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,900,1,4.21,3789,3.265,3.265,2938.5,,850.5,Long,LOT,20110812;104526,20110812;104526,,309919914
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,700,1,4.21,2947,3.175,3.175,2222.5,,724.5,Long,LOT,20110811;130614,20110811;130614,,309580841
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,400,1,4.21,1684,3.175,3.175,1270,,414,Long,LOT,20110811;114401,20110811;114401,,309580841
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,300,1,4.21,1263,3.165,3.165,949.5,,313.5,Long,LOT,20110810;155900,20110810;155900,,309327249
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,600,1,4.21,2526,3.165,3.165,1899,,627,Long,LOT,20110810;155900,20110810;155900,,309327249
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,100,1,4.21,421,3.165,3.165,316.5,,104.5,Long,LOT,20110810;155848,20110810;155848,,309327249
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,100,1,4.21,421,3.165,3.165,316.5,,104.5,Long,LOT,20110810;155846,20110810;155846,,309321206
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,200,1,4.21,842,3.165,3.165,633,,209,Long,LOT,20110810;155845,20110810;155845,,309321206
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,562,1,4.21,2366.02,3.165,3.165,1778.73,,587.29,Long,LOT,20110810;155839,20110810;155839,,309321206
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,138,1,4.21,580.98,3.165,3.165,436.77,,144.21,Long,LOT,20110810;155800,20110810;155800,,309321206
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,100,1,4.21,421,3.165,3.165,316.5,,104.5,Long,LOT,20110810;155730,20110810;155730,,309321206
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,100,1,4.21,421,3.165,3.165,316.5,,104.5,Long,LOT,20110810;155714,20110810;155714,,309321206
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,100,1,4.21,421,3.165,3.165,316.5,,104.5,Long,LOT,20110810;155659,20110810;155659,,309321206
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,100,1,4.21,421,3.165,3.165,316.5,,104.5,Long,LOT,20110810;155645,20110810;155645,,309321206
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,600,1,4.21,2526,3.165,3.165,1899,,627,Long,LOT,20110810;155637,20110810;155637,,309321206
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,1400,1,4.21,5894,3.185,3.185,4459,,1435,Long,LOT,20110810;155557,20110810;155557,,309315821
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,100,1,4.21,421,3.185,3.185,318.5,,102.5,Long,LOT,20110810;155417,20110810;155417,,309315821
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,400,1,4.21,1684,3.185,3.185,1274,,410,Long,LOT,20110810;155416,20110810;155416,,309315821
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,100,1,4.21,421,3.185,3.185,318.5,,102.5,Long,LOT,20110810;155416,20110810;155416,,309315821
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,400,1,4.21,1684,3.195,3.195,1278,,406,Long,LOT,20110810;155044,20110810;155044,,309307095
